/i/pasta.1,Angel Hair Pasta
/i/pasta.2,Orzo
/i/produce.1.1,Onion
/i/produce.1.2,Spanish Onion
/i/produce.1.3,Red Onion
/i/produce.1.4,Leek
/i/produce.2,Bread
/i/produce.2.1,Baguette
/i/produce.3,Asparagus
/i/produce.4,Corn
/i/produce.5,Scallions
/i/produce.6,Peanut Butter
/i/produce.7,Potatoes
/i/produce.8,Cucumber
/i/produce.9,Bell Pepper
/i/produce.10,Tomato
/i/produce.11,Arugula
/i/produce.12,Snap Peas
/i/produce.13,Kalamata Olives
/i/produce.14,Garlic
/i/produce.15,Shallot
/i/produce.16,Jalapeno
/i/produce.17,Hass Avocado
/i/produce.18,Swiss Chard
/i/produce.19,Canned Tomatoes
/i/produce.20,Butternut Squash
/i/produce.21,Fresh Ginger
/i/produce.22,Carrots
/i/dairy.1,Double Cream
/i/dairy.2.1,Whole Milk
/i/dairy.3.1,Gruyere
/i/dairy.3.2,Parmesan
/i/dairy.3.3,Goat Cheese
/i/dairy.3.4,Mozzarella
/i/dairy.3.5,Feta Cheese
/i/dairy.5,Butter
/i/baking.0,Flour
/i/baking.1,Light Brown Sugar
/i/baking.1.1,White Sugar
/i/baking.2,Pizza Dough
/i/baking.3,Baking Soda
/i/baking.4,Cornstarch
/i/baking.5,Baking Powder
/i/liquid.0,Water
/i/liquid.2.1,Red Wine
/i/liquid.3.1,Sherry Vinegar
/i/liquid.3.2,Red Wine Vinegar
/i/liquid.3.3,Apple Cider Vinegar
/i/liquid.5,Sesame Oil
/i/liquid.6,Hot Chili Oil
/i/liquid.7,Soy Sauce
/i/liquid.8,Tomato Juice
/i/liquid.9,XVOO
/i/liquid.10,Tabasco Sauce
/i/liquid.11,Peanut Oil
/i/liquid.12,Oyster Sauce
/i/liquid.13,Sriracha
/i/liquid.14,Mayonnaise
/i/liquid.15,Lime Juice
/i/liquid.16,Tomato Paste
/i/liquid.17,Chicken Broth
/i/beef.1,New York Strip Steak
/i/poultry.1,Eggs
/i/poultry.2,Chicken
/i/pork.1,Bacon	
/i/seasoning.1,Kosher Salt
/i/seasoning.2,Black Pepper
/i/citrus.1,Orange Zest
/i/citrus.2,Grapefruit Zest
/i/citrus.3,Lemon Zest
/i/citrus.4,Lime Zest
/i/seafood.1,Salmon
/i/seafood.2,Shrimp
/i/grain.1,Rice
/i/grain.2,Corn Tortillas
/i/spice.1,Nutmeg
/i/spice.2,Paprika
/i/spice.3,Cumin
/i/spice.4,Dry Mustard
/i/spice.5,Red Pepper Flakes
/i/spice.6,Chili Powder
/i/spice.7,Turmeric
/i/herb.1,Dill
/i/herb.3,Mint
/i/herb.2,Cilantro
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	